prompt,code
Measure distance using ultrasonic sensor (HC-SR04).,"const int trigPin = 9;
const int echoPin = 10;

void setup() {
  Serial.begin(9600);
  pinMode(trigPin, OUTPUT);
  pinMode(echoPin, INPUT);
}

void loop() {
  digitalWrite(trigPin, LOW);
  delayMicroseconds(2);
  digitalWrite(trigPin, HIGH);
  delayMicroseconds(10);
  digitalWrite(trigPin, LOW);

  long duration = pulseIn(echoPin, HIGH);
  float distance = duration * 0.034 / 2;

  Serial.println(distance);
  delay(500);
}"
Display a counter on 7-segment display using shift register.,"int latchPin = 8;
int clockPin = 12;
int dataPin  = 11;

byte digits[] = {0x3F, 0x06, 0x5B, 0x4F, 0x66,
                 0x6D, 0x7D, 0x07, 0x7F, 0x6F};

void setup() {
  pinMode(latchPin, OUTPUT);
  pinMode(clockPin, OUTPUT);
  pinMode(dataPin, OUTPUT);
}

void loop() {
  for (int i = 0; i < 10; i++) {
    digitalWrite(latchPin, LOW);
    shiftOut(dataPin, clockPin, MSBFIRST, digits[i]);
    digitalWrite(latchPin, HIGH);
    delay(1000);
  }
}"
Detect light level using LDR and turn on LED if dark.,"void setup() {
  pinMode(8, OUTPUT);
}

void loop() {
  int lightLevel = analogRead(A0);
  if (lightLevel < 300) {
    digitalWrite(8, HIGH);
  } else {
    digitalWrite(8, LOW);
  }
}"
Log temperature to Serial every 5 seconds using millis().,"unsigned long prevTime = 0;

void setup() {
  Serial.begin(9600);
}

void loop() {
  if (millis() - prevTime >= 5000) {
    int reading = analogRead(A1);
    float temp = (reading * 5.0 / 1023.0) * 100;
    Serial.println(temp);
    prevTime = millis();
  }
}"
Control LED brightness with 2 buttons (up/down).,"int brightness = 128;

void setup() {
  pinMode(2, INPUT_PULLUP);
  pinMode(3, INPUT_PULLUP);
  pinMode(9, OUTPUT);
}

void loop() {
  if (digitalRead(2) == LOW && brightness < 255) {
    brightness += 5;
    delay(200);
  }
  if (digitalRead(3) == LOW && brightness > 0) {
    brightness -= 5;
    delay(200);
  }
  analogWrite(9, brightness);
}"
Simulate traffic light system with LEDs.,"void setup() {
  pinMode(6, OUTPUT); // Red
  pinMode(5, OUTPUT); // Yellow
  pinMode(4, OUTPUT); // Green
}

void loop() {
  digitalWrite(6, HIGH); // Red
  delay(3000);
  digitalWrite(6, LOW);
  digitalWrite(5, HIGH); // Yellow
  delay(1000);
  digitalWrite(5, LOW);
  digitalWrite(4, HIGH); // Green
  delay(3000);
  digitalWrite(4, LOW);
}"
Light chase effect with 6 LEDs.,"int leds[] = {2, 3, 4, 5, 6, 7};

void setup() {
  for (int i = 0; i < 6; i++) {
    pinMode(leds[i], OUTPUT);
  }
}

void loop() {
  for (int i = 0; i < 6; i++) {
    digitalWrite(leds[i], HIGH);
    delay(100);
    digitalWrite(leds[i], LOW);
  }
}"
Control LED brightness using serial input (0–255).,"void setup() {
  Serial.begin(9600);
  pinMode(9, OUTPUT);
}

void loop() {
  if (Serial.available()) {
    int val = Serial.parseInt();
    val = constrain(val, 0, 255);
    analogWrite(9, val);
  }
}"
Buzzer alarm on motion detection with PIR sensor.,"void setup() {
  pinMode(2, INPUT);
  pinMode(8, OUTPUT);
}

void loop() {
  if (digitalRead(2) == HIGH) {
    tone(8, 1000);
    delay(1000);
    noTone(8);
  }
}"
Countdown timer from 10 seconds on Serial.,"void setup() {
  Serial.begin(9600);
}

void loop() {
  for (int i = 10; i >= 0; i--) {
    Serial.println(i);
    delay(1000);
  }
  Serial.println(""Time's up!"");
  while (1);
}"
Read temperature and humidity using DHT11 sensor.,"#include <DHT.h>
#define DHTPIN 2
#define DHTTYPE DHT11

DHT dht(DHTPIN, DHTTYPE);

void setup() {
  Serial.begin(9600);
  dht.begin();
}

void loop() {
  float h = dht.readHumidity();
  float t = dht.readTemperature();
  Serial.print(""Temp: "");
  Serial.print(t);
  Serial.print(""°C  Humidity: "");
  Serial.print(h);
  Serial.println(""%"");
  delay(2000);
}"
Display scrolling text on OLED screen using SSD1306.,"#include <Adafruit_SSD1306.h>
#include <Adafruit_GFX.h>

#define SCREEN_WIDTH 128
#define SCREEN_HEIGHT 64
Adafruit_SSD1306 display(SCREEN_WIDTH, SCREEN_HEIGHT, &Wire, -1);

void setup() {
  display.begin(SSD1306_SWITCHCAPVCC, 0x3C);
  display.clearDisplay();
}

void loop() {
  display.clearDisplay();
  display.setTextSize(1);
  display.setTextColor(WHITE);
  display.setCursor(0, 30);
  display.print(""Hello Arduino!"");
  display.display();
  delay(1000);
}"
Control servo motor angle with potentiometer.,"#include <Servo.h>

Servo myServo;

void setup() {
  myServo.attach(9);
}

void loop() {
  int val = analogRead(A0);
  int angle = map(val, 0, 1023, 0, 180);
  myServo.write(angle);
  delay(15);
}"
Store and read value from EEPROM.,"#include <EEPROM.h>

void setup() {
  Serial.begin(9600);
  EEPROM.write(0, 123);
  delay(1000);
  int value = EEPROM.read(0);
  Serial.print(""EEPROM Value: "");
  Serial.println(value);
}

void loop() {
}"
Measure light intensity with LDR and display on LCD.,"#include <LiquidCrystal.h>

LiquidCrystal lcd(12, 11, 5, 4, 3, 2);

void setup() {
  lcd.begin(16, 2);
}

void loop() {
  int lightVal = analogRead(A0);
  lcd.setCursor(0, 0);
  lcd.print(""Light: "");
  lcd.print(lightVal);
  delay(1000);
}"
Control a DC motor with L298N and pushbutton.,"int in1 = 6;
int in2 = 7;
int button = 2;

void setup() {
  pinMode(in1, OUTPUT);
  pinMode(in2, OUTPUT);
  pinMode(button, INPUT_PULLUP);
}

void loop() {
  if (digitalRead(button) == LOW) {
    digitalWrite(in1, HIGH);
    digitalWrite(in2, LOW);
  } else {
    digitalWrite(in1, LOW);
    digitalWrite(in2, LOW);
  }
}"
Display analog sensor data as bar graph on LED strip (Neopixel).,"#include <Adafruit_NeoPixel.h>

#define PIN 6
#define NUMPIXELS 10
Adafruit_NeoPixel strip(NUMPIXELS, PIN, NEO_GRB + NEO_KHZ800);

void setup() {
  strip.begin();
  strip.show();
}

void loop() {
  int val = analogRead(A0);
  int num = map(val, 0, 1023, 0, NUMPIXELS);
  for (int i = 0; i < NUMPIXELS; i++) {
    if (i < num) strip.setPixelColor(i, strip.Color(0, 150, 0));
    else strip.setPixelColor(i, 0);
  }
  strip.show();
  delay(100);
}"
Detect tilt using accelerometer (MPU6050).,"#include <Wire.h>
#include <MPU6050.h>

MPU6050 mpu;

void setup() {
  Serial.begin(9600);
  Wire.begin();
  mpu.initialize();
}

void loop() {
  int16_t ax, ay, az;
  mpu.getAcceleration(&ax, &ay, &az);
  Serial.print(""X: ""); Serial.print(ax);
  Serial.print("" Y: ""); Serial.print(ay);
  Serial.print("" Z: ""); Serial.println(az);
  delay(500);
}"
Scan I2C bus for connected devices.,"#include <Wire.h>

void setup() {
  Wire.begin();
  Serial.begin(9600);
  Serial.println(""Scanning..."");
  for (byte addr = 1; addr < 127; addr++) {
    Wire.beginTransmission(addr);
    if (Wire.endTransmission() == 0) {
      Serial.print(""Found device at 0x"");
      Serial.println(addr, HEX);
    }
  }
  Serial.println(""Done."");
}

void loop() {
}"
Control relay module to turn on lamp for 10 seconds.,"int relayPin = 7;

void setup() {
  pinMode(relayPin, OUTPUT);
  digitalWrite(relayPin, LOW);
}

void loop() {
  digitalWrite(relayPin, HIGH);
  delay(10000);
  digitalWrite(relayPin, LOW);
  delay(5000);
}"
Control relay module to turn on lamp for 10 seconds.,"int relayPin = 7;
void setup() {
  pinMode(relayPin, OUTPUT);
  digitalWrite(relayPin, LOW);
}
void loop() {
  digitalWrite(relayPin, HIGH);
  delay(10000);
  digitalWrite(relayPin, LOW);
  delay(5000);
}"
Read temperature from DHT11 sensor and display on serial monitor.,"#include <DHT.h>
#define DHTPIN 2
#define DHTTYPE DHT11
DHT dht(DHTPIN, DHTTYPE);

void setup() {
  Serial.begin(9600);
  dht.begin();
}
void loop() {
  float t = dht.readTemperature();
  if (!isnan(t)) {
    Serial.print(""Temperature: "");
    Serial.print(t);
    Serial.println("" °C"");
  }
  delay(2000);
}"
Motion-activated LED using PIR sensor.,"int pirPin = 3;
int ledPin = 13;

void setup() {
  pinMode(pirPin, INPUT);
  pinMode(ledPin, OUTPUT);
  Serial.begin(9600);
}
void loop() {
  if (digitalRead(pirPin) == HIGH) {
    digitalWrite(ledPin, HIGH);
    Serial.println(""Motion detected!"");
    delay(3000);
  } else {
    digitalWrite(ledPin, LOW);
  }
  delay(100);
}"
